:START_ID|:END_ID|:TYPE|order:int
#298|#290|EDGEEND|1
#298|#295|EDGEGEOMETRY|2
#298|#298_3|SAMESENSE|3
#299|#299_0|COORDINATES|0
#301|#299|VERTEXGEOMETRY|0
#302|#302_0|DIRECTIONRATIOS|0
#304|#302|ORIENTATION|0
#304|#304_1|MAGNITUDE|1
#305|#288|PNT|0
#305|#304|DIR|1
#306|#305|BASISCURVE|0
#306|#306_1|TRIM1|1
#306_1|#288|TRIM1|0
#306|#306_2|TRIM2|2
#306_2|#299|TRIM2|0
#306|#306_3|SENSEAGREEMENT|3
#306|#306_4|MASTERREPRESENTATION|4
#309|#290|EDGESTART|0
#309|#301|EDGEEND|1
#309|#306|EDGEGEOMETRY|2
#309|#309_3|SAMESENSE|3
#310|#310_0|DIRECTIONRATIOS|0
#312|#310|ORIENTATION|0
#312|#312_1|MAGNITUDE|1
#313|#299|PNT|0
#313|#312|DIR|1
#314|#313|BASISCURVE|0
#314|#314_1|TRIM1|1
#314_1|#299|TRIM1|0
#314|#314_2|TRIM2|2
#314_2|#271|TRIM2|0
#314|#314_3|SENSEAGREEMENT|3
#314|#314_4|MASTERREPRESENTATION|4
#317|#301|EDGESTART|0
#317|#273|EDGEEND|1
#317|#314|EDGEGEOMETRY|2
#317|#317_3|SAMESENSE|3
#318|#318_0|COORDINATES|0
#320|#318|VERTEXGEOMETRY|0
#321|#22|ORIENTATION|0
#321|#321_1|MAGNITUDE|1
#322|#288|PNT|0
#322|#321|DIR|1
#323|#322|BASISCURVE|0
#323|#323_1|TRIM1|1
#323_1|#288|TRIM1|0
#323|#323_2|TRIM2|2
#323_2|#318|TRIM2|0
#323|#323_3|SENSEAGREEMENT|3
#323|#323_4|MASTERREPRESENTATION|4
#326|#290|EDGESTART|0
#326|#320|EDGEEND|1
#326|#323|EDGEGEOMETRY|2
#326|#326_3|SAMESENSE|3
#327|#327_0|COORDINATES|0
#329|#327|VERTEXGEOMETRY|0
#330|#330_0|DIRECTIONRATIOS|0
#332|#330|ORIENTATION|0
#332|#332_1|MAGNITUDE|1
#333|#318|PNT|0
#333|#332|DIR|1
#334|#333|BASISCURVE|0
#334|#334_1|TRIM1|1
#334_1|#318|TRIM1|0
#334|#334_2|TRIM2|2
#334_2|#327|TRIM2|0
#334|#334_3|SENSEAGREEMENT|3
#334|#334_4|MASTERREPRESENTATION|4
#337|#320|EDGESTART|0
#337|#329|EDGEEND|1
#337|#334|EDGEGEOMETRY|2
#337|#337_3|SAMESENSE|3
#338|#20|ORIENTATION|0
#338|#338_1|MAGNITUDE|1
#339|#327|PNT|0
#339|#338|DIR|1
#340|#339|BASISCURVE|0
#340|#340_1|TRIM1|1
#340_1|#327|TRIM1|0
#340|#340_2|TRIM2|2
#340_2|#299|TRIM2|0
#340|#340_3|SENSEAGREEMENT|3
#340|#340_4|MASTERREPRESENTATION|4
#343|#329|EDGESTART|0
#343|#301|EDGEEND|1
#343|#340|EDGEGEOMETRY|2
#343|#343_3|SAMESENSE|3
#344|#344_0|COORDINATES|0
#346|#344|VERTEXGEOMETRY|0
#347|#347_0|DIRECTIONRATIOS|0
#349|#347|ORIENTATION|0
#349|#349_1|MAGNITUDE|1
#350|#318|PNT|0
#350|#349|DIR|1
#351|#350|BASISCURVE|0
#351|#351_1|TRIM1|1
#351_1|#318|TRIM1|0
#351|#351_2|TRIM2|2
#351_2|#344|TRIM2|0
#351|#351_3|SENSEAGREEMENT|3
#351|#351_4|MASTERREPRESENTATION|4
#354|#320|EDGESTART|0
#354|#346|EDGEEND|1
#354|#351|EDGEGEOMETRY|2
#354|#354_3|SAMESENSE|3
#355|#355_0|COORDINATES|0
#357|#355|VERTEXGEOMETRY|0
#358|#358_0|DIRECTIONRATIOS|0
#360|#358|ORIENTATION|0
#360|#360_1|MAGNITUDE|1
#361|#344|PNT|0
#361|#360|DIR|1
#362|#361|BASISCURVE|0
#362|#362_1|TRIM1|1
#362_1|#344|TRIM1|0
#362|#362_2|TRIM2|2
#362_2|#355|TRIM2|0
#362|#362_3|SENSEAGREEMENT|3
#362|#362_4|MASTERREPRESENTATION|4
#365|#346|EDGESTART|0
#365|#357|EDGEEND|1
#365|#362|EDGEGEOMETRY|2
#365|#365_3|SAMESENSE|3
#366|#366_0|DIRECTIONRATIOS|0
#368|#366|ORIENTATION|0
#368|#368_1|MAGNITUDE|1
#369|#355|PNT|0
#369|#368|DIR|1
#370|#369|BASISCURVE|0
#370|#370_1|TRIM1|1
#370_1|#355|TRIM1|0
#370|#370_2|TRIM2|2
#370_2|#327|TRIM2|0
#370|#370_3|SENSEAGREEMENT|3
#370|#370_4|MASTERREPRESENTATION|4
#373|#357|EDGESTART|0
#373|#329|EDGEEND|1
#373|#370|EDGEGEOMETRY|2
#373|#373_3|SAMESENSE|3
#374|#374_0|COORDINATES|0
#376|#374|VERTEXGEOMETRY|0
#377|#22|ORIENTATION|0
#377|#377_1|MAGNITUDE|1
#378|#344|PNT|0
#378|#377|DIR|1
#379|#378|BASISCURVE|0
#379|#379_1|TRIM1|1
#379_1|#344|TRIM1|0
#379|#379_2|TRIM2|2
#379_2|#374|TRIM2|0
#379|#379_3|SENSEAGREEMENT|3
#379|#379_4|MASTERREPRESENTATION|4
#382|#346|EDGESTART|0
#382|#376|EDGEEND|1
#382|#379|EDGEGEOMETRY|2
#382|#382_3|SAMESENSE|3
#383|#383_0|COORDINATES|0
